basis,dataset,decomp_mode,directional_accuracy,fusion_mode,horizon,illustrative_sharpe,k_bands,mae,mape,model,ms_per_batch,mse,params,rmse,seed,tag
chebyshev,ETTh1,adaptive,,attention,96,,3,0.40744549036026,965.6599731445312,Autoformer,2.482235000934452,0.3980671465396881,18694,0.630925626789472,2021,
chebyshev,ETTh1,adaptive,,attention,720,,3,0.5167660713195801,895.8221435546875,DLinear,0.2961799968034029,0.5224246978759766,139680,0.7227895252948652,2021,
,ETTh1,,,,96,,,0.40224066376686096,866.5791625976562,DLinear,1.1526349990162998,0.3883550465106964,18624,0.6231813913385864,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.40727055072784424,888.3330078125,DLinear,0.7307049992959946,0.39311492443084717,18624,0.626988775362723,2022,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.40751388669013977,1028.878173828125,FEDformer,3.411045001121238,0.39974820613861084,12462,0.6322564401717161,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.43151015043258667,1018.216064453125,Informer,4.86291500274092,0.4398643970489502,38293,0.6632227356242775,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.40891313552856445,969.5709228515625,iTransformer,4.073710000375286,0.38944029808044434,31694,0.6240515187710421,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.4464483857154846,1025.63671875,LSTM,2.553884999360889,0.4402405321598053,35886,0.6635062412365126,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.7131813168525696,1663.3785400390625,Naive,,1.2943706512451172,0,1.13770411410222,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.4164544939994812,1002.921875,NLinear,0.4777699999976903,0.4098377823829651,9312,0.6401857405339212,2021,
chebyshev,ETTh1,adaptive,,attention,720,,3,0.5162109732627869,1129.079833984375,PatchTST,1.7765700002200902,0.5719290375709534,280126,0.756259900808547,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.40091004967689514,939.9982299804688,PatchTST,3.3120050036814064,0.38627806305885315,59854,0.6215127215583388,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.42265555262565613,976.93359375,PlainKAN,4.325300001073629,0.4106099605560303,20309,0.640788545899527,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.4222843050956726,975.146484375,PlainKAN,3.744225000264123,0.41014984250068665,20309,0.6404294203896996,2022,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.4295693337917328,1167.4169921875,TCN,7.61631999630481,0.42482060194015503,2087758,0.6517826339663823,2021,
chebyshev,ETTh1,adaptive,,attention,192,,3,0.4558123052120209,1077.4990234375,TimeKAN,17.86411000066437,0.4551270008087158,105256,0.6746310108560944,2021,
chebyshev,ETTh1,adaptive,,attention,336,,3,0.47209715843200684,1134.2828369140625,TimeKAN,10.013530001742765,0.4884708821773529,147160,0.6989069195374681,2021,
chebyshev,ETTh1,adaptive,,attention,720,,3,0.5533868670463562,1325.168701171875,TimeKAN,6.434984999941662,0.6174527406692505,258904,0.7857816113076523,2021,
chebyshev,ETTh1,adaptive,,attention,96,,3,0.41351717710494995,1063.8148193359375,TimeKAN,17.315260000759736,0.403881698846817,77320,0.635516875343855,2021,
bspline,ETTh1,fixed,,attention,96,,3,0.42051151394844055,992.8341064453125,TimeKAN,13.98417999735102,0.4184131324291229,82997,0.6468486163153809,2021,basis_bspline
mlp,ETTh1,fixed,,attention,96,,3,0.41043752431869507,1008.6744384765625,TimeKAN,12.240664998535067,0.39620786905288696,58805,0.6294504500378778,2021,basis_mlp
chebyshev,ETTh1,adaptive,,attention,96,,3,0.41351717710494995,1063.8148193359375,TimeKAN,20.037455001147464,0.403881698846817,77320,0.635516875343855,2021,decomp_adaptive
chebyshev,ETTh1,fixed,,attention,96,,3,0.4172796607017517,1033.15283203125,TimeKAN,7.934170000953599,0.401879221200943,64565,0.6339394460048554,2021,decomp_fixed
chebyshev,ETTh1,fixed,,attention,96,,3,0.42316633462905884,1063.6993408203125,TimeKAN,12.570655002491549,0.4041937291622162,64565,0.6357623212822667,2021,degree_uniform
chebyshev,ETTh1,fixed,,attention,96,,3,0.4172796607017517,1033.15283203125,TimeKAN,18.42318499693647,0.401879221200943,64565,0.6339394460048554,2021,fusion_attention
chebyshev,ETTh1,fixed,,concat,96,,3,0.42195892333984375,991.1484985351562,TimeKAN,16.404309996869415,0.4103553891181946,63541,0.6405898759098481,2021,fusion_concat
chebyshev,ETTh1,fixed,,attention,96,,1,0.42829906940460205,983.531005859375,TimeKAN,2.8591200010851026,0.4186093509197235,24437,0.6470002711898377,2021,k_bands_1
chebyshev,ETTh1,fixed,,attention,96,,2,0.41578370332717896,930.8092041015625,TimeKAN,4.505785001674667,0.4044730067253113,44501,0.6359819232692949,2021,k_bands_2
chebyshev,ETTh1,fixed,,attention,96,,3,0.4172796607017517,1033.15283203125,TimeKAN,5.489590001525357,0.401879221200943,64565,0.6339394460048554,2021,k_bands_3
chebyshev,ETTh1,fixed,,attention,96,,4,0.4208315908908844,1012.9661865234375,TimeKAN,7.448130002012476,0.42324700951576233,86677,0.6505743689354525,2021,k_bands_4
chebyshev,ETTh1,fixed,,attention,96,,5,0.44172224402427673,989.35986328125,TimeKAN,26.35570999700576,0.4398808181285858,106741,0.6632351152710371,2021,k_bands_5
chebyshev,ETTh1,fixed,,attention,96,,3,0.5414324998855591,745.5955810546875,TimeKAN,4.923409997718409,0.5600408315658569,64551,0.748358758595005,2021,revin_off
chebyshev,ETTh1,adaptive,,attention,96,,3,0.4226219058036804,1027.2999267578125,TimeKAN,18.882954999571666,0.4170396327972412,77320,0.6457860580697304,2022,
chebyshev,Finance,adaptive,0.5937110187110187,attention,20,0.7081422315100739,3,0.7315584421157837,190.21969604492188,TimeKAN,14.448760001687333,0.8694071173667908,92603,0.9324200326927724,2021,
chebyshev,Weather,adaptive,,attention,96,,3,0.1658461093902588,24.95825958251953,DLinear,0.31685500289313495,0.07959741353988647,18624,0.2821301358236771,2021,
chebyshev,Weather,adaptive,,attention,96,,3,0.05681118369102478,10.020669937133789,TimeKAN,15.062269999179989,0.009841958060860634,79154,0.09920664322947649,2021,
